DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2008,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2009,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2010,41.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2011,41.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2012,41.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2013,41.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2014,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2015,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2016,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2017,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2018,41.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2019,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2020,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2021,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT13,2022,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1990,36.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1991,36.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1992,36.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1993,37.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1994,37.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1995,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1996,38.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1997,38.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1998,38.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,1999,39.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2000,39.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2001,40.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2002,40.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2003,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2004,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2005,42.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2006,42.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2007,43.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2008,43.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2009,44.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2010,44.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2011,45.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2012,45.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2013,46.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2014,46.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2015,47.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2016,47.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2017,47.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2018,48.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2019,48.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2020,48.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2021,49.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT21,2022,49.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1990,37.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1991,37.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1992,37.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1993,37.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1994,38.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1995,38.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1996,38.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1997,39.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1998,39.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,1999,39.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2000,40.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2001,40.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2002,40.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2003,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2004,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2005,41.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2006,42.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2007,42.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2008,43.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2009,43.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2010,43.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2011,44.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2012,44.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2013,44.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2014,45.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2015,45.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2016,45.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2017,46.0,
