country_code,country,year,nuts2016,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist,growth_sum_farright,growth_sum_eurosceptic,growth_sum_populist,dev_mean_sum_farright,dev_mean_sum_eurosceptic,dev_mean_sum_populist,gdp,population,employment,employment_rate,ge65,elder_rate,fem_rate,migration_rate,pop_density,gdp_lag_4,employment_rate_lag_4,migration_rate_lag_4,growth_eurosceptic_p_perc,growth_populism_p_perc
DE,Germany,2004,DE226,3,Kelheim,EP,-Inf,-5.243796527669621,-5.243796527669621,-Inf,-Inf,-Inf,NA,NA,NA,10.03889218954233,11.633779336336136,3.8983296782961436,-0.8276943790578555,NA,NA,4.594252543915536,NA,4.661550519424199,0.1010032102888706,-0.03865738587013999,NA,NA,NA
DE,Germany,2004,DE227,3,"Landshut, Landkreis",EP,-Inf,-5.117101081069584,-5.117101081069584,-Inf,-Inf,-Inf,NA,NA,NA,9.998797732340453,11.897214603178815,3.983413001514819,-1.006046322681859,NA,NA,4.6028141514779835,1.5260563034950492,4.694096395182493,-0.02690745291992438,-0.057538223639478664,-0.84418743797281115,NA,NA
DE,Germany,2004,DE228,3,"Passau, Landkreis",EP,-Inf,-5.2131078249757525,-5.2131078249757525,-Inf,-Inf,-Inf,NA,NA,NA,9.923290179832307,12.147028336860881,4.321347323862031,-0.9179257340167132,NA,NA,4.567347364655723,1.308332819650179,4.8154311114712876,0.06062462181643484,-0.028597230839236577,-0.05264373348542191,NA,NA
DE,Germany,2004,DE229,3,Regen,EP,-Inf,-5.24430008160895,-5.24430008160895,-Inf,-Inf,-Inf,NA,NA,NA,9.908475094047168,11.316448187052021,3.5530597309714014,-0.8556331770984833,NA,NA,4.589298768870411,NA,4.432006566978902,0.061557892999433365,-0.05262655484104459,2.995732273553991,NA,NA
DE,Germany,2004,DE22A,3,Rottal-Inn,EP,-Inf,-5.186151195443528,-5.186151195443528,-Inf,-Inf,-Inf,NA,NA,NA,10.021270588192511,11.692986134550393,3.964046033495298,-0.8211848220729592,NA,NA,4.572643869871118,0.5306282510621704,4.536891345234797,0.06424226872835366,-0.03813741800568819,-1.0586069540544107,NA,NA
DE,Germany,2004,DE22B,3,Straubing-Bogen,EP,-Inf,-5.5142699070164864,-5.5142699070164864,-Inf,-Inf,-Inf,NA,NA,NA,9.792555991828847,11.487453798996558,3.4919517449306197,-1.0877467750838024,NA,NA,4.587628576015515,1.308332819650179,4.396915247167632,0.10598144085629199,-0.03574586863019688,-0.37806613392005006,NA,NA
DE,Germany,2004,DE22C,3,Dingolfing-Landau,EP,-Inf,-5.265728581716614,-5.265728581716614,-Inf,-Inf,-Inf,NA,NA,NA,10.647803019670473,11.430543356364261,4.03742141482248,-0.4853666625596441,NA,NA,4.604388359079484,NA,4.653007515402251,0.32890002817301234,0.03871528224114649,NA,NA,NA
DE,Germany,2004,DE231,3,"Amberg, Kreisfreie Stadt",EP,-Inf,-4.637611212155994,-4.637611212155994,-Inf,-Inf,-Inf,NA,NA,NA,10.465956409453957,10.705399447887462,3.4258899942525267,-0.3717541746527982,NA,NA,4.516224697119668,1.4816045409242156,6.792344427470809,-0.00851068966790862,-0.09034747994999677,-0.9607424944449888,NA,NA
DE,Germany,2004,DE232,3,"Regensburg, Kreisfreie Stadt",EP,-Inf,-4.210792806489927,-4.210792806489927,-Inf,-Inf,-Inf,NA,NA,NA,11.023535121924303,11.764493194500997,4.864992761560793,0.008254846041932492,NA,NA,4.520581200220318,1.1631508098056809,7.374252768898585,0.06225727524032021,-0.026769288010049765,-0.5232481437645479,NA,NA
DE,Germany,2004,DE233,3,"Weiden i. d. Opf, Kreisfreie Stadt",EP,-Inf,-4.609472842875413,-4.609472842875413,-Inf,-Inf,-Inf,NA,NA,NA,10.65254236503437,10.661579421736455,3.6214032889890224,-0.1324208537652961,NA,NA,4.490152730598115,1.916922612182061,6.436150368369428,0.0534107517397087,0.004368559076179524,0.8183103235139513,NA,NA
DE,Germany,2004,DE234,3,Amberg-Sulzbach,EP,-Inf,-5.105374154136421,-5.105374154136421,-Inf,-Inf,-Inf,NA,NA,NA,9.792555991828847,11.598056742346348,3.613886475072506,-1.0764149882917042,NA,NA,4.5814378303141305,-Inf,4.462453883786496,0.06939199342399979,-0.04154038711289493,-Inf,NA,NA
DE,Germany,2004,DE235,3,Cham,EP,-Inf,-5.506469100043011,-5.506469100043011,-Inf,-Inf,-Inf,NA,NA,NA,10.003332887505843,11.78667847691097,4.099663723699701,-0.7792594742291322,NA,NA,4.58580674456044,-2.3025850929940455,4.464758032271346,0.0751527223793447,-0.040082708381293915,-2.0794415416798357,NA,NA
