geo,year,gdp_regional,employment_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,employment_in_agriculture_forestry_and_fishing_isic_rev4,employment_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,employment_in_financial_and_insurance_activities_isic_rev4,employment_in_other_services_isic_rev4,employment_in_construction_isic_rev4,of_which_employment_in_manufacturing_isic_rev4,regional_employment_at_place_of_work_total_activities,employment_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,employment_in_information_and_communication_isic_rev4,employment_in_industry_including_energy_isic_rev4,employment_in_real_estate_activities_isic_rev4,disposable_household_income,primary_income_of_private_households,labour_utilisation_percent_total_employment_over_population,proc_gva_in_other_services_isic_rev4,proc_gva_in_information_and_communication_isic_rev4,proc_gva_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,proc_gva_in_real_estate_activities_isic_rev4,proc_gva_in_industry_including_energy_isic_rev4,proc_gva_in_construction_isic_rev4,proc_gva_in_financial_and_insurance_activities_isic_rev4,proc_gva_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,proc_gva_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,proc_gva_in_agriculture_forestry_and_fishing_isic_rev4,air_pollution_in_pm2_5_average_level_in_mg_m3_experienced_by_the_population,pct_patent_applications_per_million_inhabitants_fractional_count_by_inventor_and_priority_year_level,pct_patent_applications_count_fractional_count_by_inventor_place_of_residence_and_priority_year,obs_value,econ_act_rate,HRST,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,FMEDAGEPOP,MEDAGEPOP,MMEDAGEPOP,ed3_4,disp_income,country_code,country_name,is_duplicate
AT12,2001,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17789,20131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45,61.4,94.4656,NA,62.7,29,4.3,7.6,40.3,39,37.7,65.1,15000,AT,Austria,FALSE
AT12,2002,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18340,20606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.04,75.2,116.163,0.057,64,29.2,4.7,7.2,40.7,39.5,38.3,66.2,15400,AT,Austria,FALSE
AT12,2003,21300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19200,21464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.61,83.5,129.339,NA,64.7,28.7,4.6,8.7,41,39.8,38.7,68.5,16200,AT,Austria,FALSE
AT12,2004,22600,42100,52700,131400,16700,24400,46000,111100,630500,182300,9400,120200,5200,19926,22443,40.3,0.02409947629025516,0.012567216341198067,0.23579141967663458,0.0968419030111363,0.26958978233719433,0.081347156985696,0.031196431399735682,0.16236897519583943,0.05204329887806158,0.034182901149461105,17.1,91.3,142.188,0.0685,62.7,38.5,3.4,11.2,41.3,40.2,39.1,63.4,16800,AT,Austria,FALSE
AT12,2005,23100,44300,51700,132500,16900,25000,45600,109500,634700,185600,8600,118700,5800,21302,23729,40.3,0.02479837995190482,0.012800911277053538,0.23653157828123023,0.10547905328439437,0.2653765346158714,0.07993443867864827,0.03134236172636375,0.1618782432603468,0.05605467662321225,0.02583166687761043,18.85,99.4,155.951,NA,63.8,36.7,4.1,12.8,41.7,40.6,39.5,64.3,18000,AT,Austria,FALSE
AT12,2006,24200,48600,50700,135700,17200,24800,45900,109100,645700,189400,9100,118100,6000,22523,25220,40.8,0.02345301473031601,0.012915459279587857,0.23836899917971266,0.10070247271324569,0.26971187697083915,0.07743861206449829,0.03215340535440829,0.16252355711918798,0.05590386139235065,0.02680364458552251,19.35,114,180.186,0.1025,64.7,35.3,4,12.1,42,40.9,39.9,66.3,18900,AT,Austria,FALSE
AT12,2007,25500,51200,50400,136400,18000,25400,47300,112700,656600,191200,8400,122100,6200,23611,26592,41.2,0.023209157182452367,0.012031559045639805,0.24105859750659117,0.0968802950046776,0.272530415270112,0.07723810375319745,0.032904753701187825,0.15656095374959927,0.057319400133894784,0.030292278806460966,16.57,115.8,183.944,0.1064,65.6,33.6,3.7,11.8,42.4,41.3,40.3,66.1,19800,AT,Austria,FALSE
AT12,2008,26300,55900,49300,139900,18300,26100,49500,112800,670700,193800,8800,122400,6600,24414,27704,41.9,0.024177604424632654,0.012414768036982006,0.24361069836552748,0.0965170463926036,0.2593363051015354,0.07791893676737659,0.033525053656925874,0.1599199273567773,0.06294390787518574,0.029660516757470695,15.59,100.5,160.34,NA,66.4,34.3,4.4,12.3,42.8,41.8,40.8,66.9,20200,AT,Austria,FALSE
AT12,2009,25200,55800,48600,143200,18100,27000,49000,108700,666800,191700,8500,118400,6400,24626,27235,41.6,0.02490259087328853,0.012563054079871294,0.2468158737074961,0.10107506158770592,0.24698974376162625,0.07736421377218414,0.031432354074843724,0.17325019691307333,0.060381927569506125,0.02522540262439041,16.89,124.2,199.137,0.1264,66,36.6,3.8,12,43.2,42.2,41.2,66.2,19900,AT,Austria,FALSE
AT12,2010,25900,56700,47700,145300,17700,27400,49300,105800,667600,193000,8700,115300,6400,25171,27732,41.5,0.025097617958436805,0.012512457521892563,0.24925459090314991,0.10417326983400862,0.2387065416285453,0.07444410861325317,0.029268437132400994,0.17493138151875573,0.06261068814534047,0.029001723630897917,16.31,122.8,197.152,NA,66,36.9,3.4,12.3,43.6,42.6,41.7,66.5,20200,AT,Austria,FALSE
