country,year,nuts2,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist
Slovakia,2012,SK03,2,Stredné Slovensko,Parliament,0.08289110300736965,0.13732739285005874,0.15409145699507165
Slovakia,2012,SK04,2,Východné Slovensko,Parliament,0.05144015417965919,0.0955438675744571,0.10949219861484713
Slovakia,2014,SK01,2,Bratislavský kraj,EP,0.04186810958494755,0.16133576665706145,0.10018249927960811
Slovakia,2014,SK02,2,Západné Slovensko,EP,0.05123823977331218,0.10744323518330831,0.09800852201875268
Slovakia,2014,SK03,2,Stredné Slovensko,EP,0.07057837502817219,0.12752141086319585,0.1308034708136128
Slovakia,2014,SK04,2,Východné Slovensko,EP,0.0419760868280576,0.09125350457318074,0.10271764466418475
Slovakia,2016,SK01,2,Bratislavský kraj,Parliament,0.18056167151050298,0.4222143937998895,0.2742118424458838
Slovakia,2016,SK02,2,Západné Slovensko,Parliament,0.22299919079910224,0.3233859059451183,0.24599598235025966
Slovakia,2016,SK03,2,Stredné Slovensko,Parliament,0.27079020753000954,0.37680714967566387,0.27360287430190694
Slovakia,2016,SK04,2,Východné Slovensko,Parliament,0.2255122248733472,0.31551284781528466,0.2540589013332406
Slovakia,2019,SK01,2,Bratislavský kraj,EP,0.14037196881977188,0.2851428539770304,0.10335791334024011
Slovakia,2019,SK02,2,Západné Slovensko,EP,0.191544262394379,0.28026590750779856,0.11750810139616584
Slovakia,2019,SK03,2,Stredné Slovensko,EP,0.22843075513826072,0.31523117061560985,0.12679011033050078
Slovakia,2019,SK04,2,Východné Slovensko,EP,0.18527903684404629,0.2574007320429391,0.1409480075028453
Slovakia,2020,SK01,2,Bratislavský kraj,Parliament,0.12882483473007844,0.25011697450650655,0.3434603143718817
Slovakia,2020,SK02,2,Západné Slovensko,Parliament,0.19104521003065508,0.2435302234864362,0.36083994340905673
Slovakia,2020,SK03,2,Stredné Slovensko,Parliament,0.2268828012106059,0.28159255371576375,0.3588243646964158
Slovakia,2020,SK04,2,Východné Slovensko,Parliament,0.19464050771084526,0.24016468435498628,0.37018648934403103
Slovenia,2004,NA,1,NA,EP,0.21400281935960258,0.1809305619014004,0.34754778511369466
Slovenia,2004,NA,1,NA,Parliament,0.3455272453570344,0.16070356555139978,0.44493670311353883
Slovenia,2008,NA,1,NA,Parliament,0.34058186288797715,0.35227162320725247,0.6397605061172021
Slovenia,2009,NA,1,NA,EP,0.28376253479871716,0.2046102336233399,0.4609341614494521
Slovenia,2011,NA,1,NA,Parliament,0.275088610981074,0.12103524376379321,0.37848101830179004
Slovenia,2014,NA,1,NA,EP,0.03862641513030756,0.16841927174552795,0.16841927174552795
Slovenia,2014,NA,1,NA,Parliament,0.2260740974871876,0.08067527600298016,0.28505520059603096
Slovenia,2018,NA,1,NA,Parliament,0.2875620941279311,0.23164132612423927,0.6024777747949424
Slovenia,2019,NA,1,NA,EP,0.2962309399602402,0.2848289292263081,0.6929153205254469
Spain,1993,ES11,2,Galicia,Parliament,0,0.12622929055594242,0
Spain,1993,ES12,2,Principado de Asturias,Parliament,0,0.1537746869611937,0
Spain,1993,ES13,2,Cantabria,Parliament,0,0.07364939958255401,0
Spain,1993,ES21,2,País Vasco,Parliament,0,0.06265623225222341,0
