country,year,nuts2,regionname,sum_farright,sum_eurosceptic,sum_populist,gdp_regional,econ_act_rate,HRST,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,FMEDAGEPOP,MEDAGEPOP,MMEDAGEPOP,ed3_4,disp_income,country_code,country_name,is_duplicate,lag_1_gdp_regional,lag_2_gdp_regional,lag_3_gdp_regional,lag_4_gdp_regional,lag_1_econ_act_rate,lag_2_econ_act_rate,lag_3_econ_act_rate,lag_4_econ_act_rate
NA,2015,FRY1,NA,NA,NA,NA,20600,56,35.7,NA,9,42.8,41.8,40.5,37.6,15800,FR,France,FALSE,1.03,1.0564102564102564,1.0785340314136125,1.08994708994709,0.9964412811387899,0.9572649572649573,0.989399293286219,0.9739130434782609
NA,2016,FRY1,NA,NA,NA,NA,21100,55.2,35,NA,9.1,43.5,42.5,41.2,36.4,15800,FR,France,FALSE,1.0242718446601942,1.055,1.082051282051282,1.1047120418848169,0.9857142857142858,0.9822064056939501,0.9435897435897437,0.9752650176678446
NA,2017,FRY1,NA,NA,NA,NA,19700,56.2,36.4,NA,7.5,44.2,43.4,42.1,37.9,14500,FR,France,FALSE,0.933649289099526,0.9563106796116505,0.985,1.0102564102564102,1.0181159420289856,1.0035714285714286,1,0.9606837606837607
NA,2018,FRY1,NA,NA,NA,NA,20400,54.3,35.1,2.2,6.4,45,44.1,42.8,36.7,14600,FR,France,FALSE,1.0355329949238579,0.966824644549763,0.9902912621359223,1.02,0.9661921708185053,0.983695652173913,0.9696428571428571,0.9661921708185053
France,2019,FRY1,Guadeloupe,0.20514212061596904,0.3172331139904574,0.3172331139904574,21500,54.1,38.6,2.4,8.5,45.7,44.9,43.6,36.4,15100,FR,France,FALSE,1.053921568627451,1.0913705583756346,1.018957345971564,1.0436893203883495,0.9963167587476981,0.9626334519572953,0.980072463768116,0.9660714285714286
NA,2000,FRY2,NA,NA,NA,NA,12400,NA,NA,NA,NA,35,34,32.8,NA,9800,FR,France,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,FRY2,NA,NA,NA,NA,13300,57.4,NA,NA,NA,35.6,34.6,33.4,NA,10400,FR,France,FALSE,1.0725806451612903,NA,NA,NA,NA,NA,NA,NA
NA,2002,FRY2,NA,NA,NA,NA,13800,56.6,NA,NA,NA,36.2,35.2,33.9,NA,11100,FR,France,FALSE,1.037593984962406,1.1129032258064515,NA,NA,0.9860627177700348,NA,NA,NA
NA,2003,FRY2,NA,NA,NA,NA,14000,55.7,NA,NA,NA,36.8,35.8,34.5,NA,10800,FR,France,FALSE,1.0144927536231885,1.0526315789473684,1.1290322580645162,NA,0.9840989399293286,0.9703832752613241,NA,NA
France,2004,FRY2,Martinique,0.01108175095761896,0.01108175095761896,0.01108175095761896,14600,55.4,NA,NA,NA,37.4,36.4,35.1,NA,11000,FR,France,FALSE,1.042857142857143,1.0579710144927537,1.0977443609022557,1.1774193548387097,0.9946140035906642,0.9787985865724381,0.9651567944250871,NA
NA,2005,FRY2,NA,NA,NA,NA,15700,53.3,NA,NA,NA,38.1,37,35.6,NA,11900,FR,France,FALSE,1.0753424657534247,1.1214285714285714,1.1376811594202898,1.1804511278195489,0.9620938628158845,0.9569120287253141,0.9416961130742049,0.9285714285714285
NA,2006,FRY2,NA,NA,NA,NA,16400,55.2,NA,NA,NA,38.7,37.7,36.2,NA,12700,FR,France,FALSE,1.0445859872611465,1.1232876712328768,1.1714285714285715,1.1884057971014492,1.0356472795497187,0.996389891696751,0.9910233393177738,0.9752650176678446
NA,2007,FRY2,NA,NA,NA,NA,16900,56.5,20.7,NA,NA,39.2,38.1,36.7,NA,12500,FR,France,FALSE,1.0304878048780488,1.0764331210191083,1.1575342465753424,1.207142857142857,1.0235507246376812,1.0600375234521577,1.01985559566787,1.0143626570915618
NA,2008,FRY2,NA,NA,NA,NA,17500,55.9,16.7,NA,NA,39.7,38.8,37.5,NA,13400,FR,France,FALSE,1.0355029585798816,1.0670731707317074,1.1146496815286624,1.1986301369863013,0.9893805309734514,1.0126811594202898,1.048780487804878,1.0090252707581226
France,2009,FRY2,Martinique,0,0,0,16900,56.8,20,NA,NA,40.4,39.5,38.2,NA,13800,FR,France,FALSE,0.9657142857142857,1,1.0304878048780488,1.0764331210191083,1.0161001788908766,1.0053097345132742,1.0289855072463767,1.0656660412757974
NA,2010,FRY2,NA,NA,NA,NA,17800,56.5,32.1,NA,NA,41.2,40.3,39.1,NA,14500,FR,France,FALSE,1.0532544378698225,1.0171428571428571,1.0532544378698225,1.0853658536585367,0.994718309859155,1.0107334525939178,1,1.0235507246376812
NA,2011,FRY2,NA,NA,NA,NA,18500,58.2,33.2,2,NA,42.2,41.2,40.1,NA,14600,FR,France,FALSE,1.0393258426966292,1.0946745562130178,1.0571428571428572,1.0946745562130178,1.0300884955752212,1.0246478873239437,1.041144901610018,1.0300884955752212
NA,2012,FRY2,NA,NA,NA,NA,18600,57.8,36.7,NA,NA,43,42,40.9,NA,14700,FR,France,FALSE,1.0054054054054054,1.0449438202247192,1.1005917159763314,1.062857142857143,0.9931271477663229,1.023008849557522,1.017605633802817,1.033989266547406
NA,2013,FRY2,NA,NA,NA,NA,19100,59.5,34.5,2,NA,43.8,42.8,41.6,NA,14900,FR,France,FALSE,1.0268817204301075,1.0324324324324323,1.0730337078651686,1.1301775147928994,1.0294117647058825,1.02233676975945,1.0530973451327434,1.0475352112676057
France,2014,FRY2,Martinique,0,0.00697394099414533,0.00697394099414533,19700,57.6,34.9,NA,9.1,44.7,43.6,42.4,36.1,15100,FR,France,FALSE,1.031413612565445,1.0591397849462365,1.0648648648648649,1.1067415730337078,0.9680672268907563,0.9965397923875433,0.9896907216494845,1.0194690265486726
NA,2015,FRY2,NA,NA,NA,NA,20300,57.7,39.7,2.1,9.6,45.3,44.3,43.1,36.7,15300,FR,France,FALSE,1.0304568527918783,1.0628272251308901,1.0913978494623655,1.0972972972972972,1.0017361111111112,0.9697478991596639,0.9982698961937717,0.9914089347079038
NA,2016,FRY2,NA,NA,NA,NA,20500,56.9,38.9,2.6,10.1,46.1,45.2,44,38.7,15600,FR,France,FALSE,1.0098522167487685,1.0406091370558375,1.0732984293193717,1.1021505376344085,0.9861351819757365,0.9878472222222222,0.9563025210084033,0.9844290657439446
NA,2017,FRY2,NA,NA,NA,NA,21100,56.8,39.7,NA,9.5,46.9,46.1,45.1,40.1,16000,FR,France,FALSE,1.0292682926829269,1.0394088669950738,1.0710659898477157,1.1047120418848169,0.9982425307557118,0.9844020797227035,0.986111111111111,0.9546218487394957
NA,2018,FRY2,NA,NA,NA,NA,21700,57.5,41.2,NA,10.8,47.6,46.8,45.7,40.5,16200,FR,France,FALSE,1.028436018957346,1.0585365853658537,1.0689655172413792,1.101522842639594,1.012323943661972,1.0105448154657293,0.9965337954939341,0.9982638888888888
France,2019,FRY2,Martinique,0.13979829663029036,0.2508658432986996,0.2508658432986996,23100,57.9,40.2,NA,10.9,48.4,47.6,46.6,40.3,16900,FR,France,FALSE,1.064516129032258,1.09478672985782,1.1268292682926828,1.1379310344827587,1.0069565217391303,1.0193661971830985,1.0175746924428823,1.0034662045060658
NA,2000,FRY3,NA,NA,NA,NA,10500,NA,NA,NA,NA,24.3,23.9,23.5,NA,7400,FR,France,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,FRY3,NA,NA,NA,NA,11900,57.5,NA,NA,NA,24.1,23.8,23.4,NA,8500,FR,France,FALSE,1.1333333333333333,NA,NA,NA,NA,NA,NA,NA
NA,2002,FRY3,NA,NA,NA,NA,12300,56.4,NA,NA,NA,23.9,23.6,23.4,NA,8300,FR,France,FALSE,1.0336134453781514,1.1714285714285715,NA,NA,0.9808695652173913,NA,NA,NA
NA,2003,FRY3,NA,NA,NA,NA,11200,55.7,NA,NA,NA,23.7,23.5,23.2,NA,7800,FR,France,FALSE,0.9105691056910569,0.9411764705882353,1.0666666666666667,NA,0.9875886524822696,0.9686956521739131,NA,NA
France,2004,FRY3,Guyane,0.0467519049464032,0.0467519049464032,0.0467519049464032,11400,55.2,NA,NA,NA,23.7,23.4,23,NA,8300,FR,France,FALSE,1.0178571428571428,0.926829268292683,0.957983193277311,1.0857142857142856,0.9910233393177738,0.9787234042553192,0.9600000000000001,NA
NA,2005,FRY3,NA,NA,NA,NA,11800,54.8,NA,NA,NA,23.8,23.4,23,NA,9100,FR,France,FALSE,1.0350877192982457,1.0535714285714286,0.959349593495935,0.9915966386554622,0.9927536231884057,0.9838420107719927,0.9716312056737588,0.9530434782608695
NA,2006,FRY3,NA,NA,NA,NA,12300,56.3,NA,NA,NA,24,23.5,22.9,NA,9500,FR,France,FALSE,1.0423728813559323,1.0789473684210527,1.0982142857142858,1,1.0273722627737227,1.019927536231884,1.0107719928186714,0.99822695035461
NA,2007,FRY3,NA,NA,NA,NA,12200,54.4,22.4,NA,NA,24.1,23.7,23.4,NA,9100,FR,France,FALSE,0.991869918699187,1.0338983050847457,1.0701754385964912,1.0892857142857142,0.9662522202486679,0.9927007299270073,0.9855072463768115,0.9766606822262118
NA,2008,FRY3,NA,NA,NA,NA,12400,54,20.4,NA,NA,24.3,23.9,23.4,NA,9200,FR,France,FALSE,1.0163934426229508,1.008130081300813,1.0508474576271187,1.087719298245614,0.9926470588235294,0.9591474245115453,0.9854014598540146,0.9782608695652173
France,2009,FRY3,Guyane,0,0,0,12500,56.6,21.9,NA,NA,24.5,23.8,23.1,NA,10000,FR,France,FALSE,1.0080645161290323,1.0245901639344261,1.016260162601626,1.0593220338983051,1.0481481481481483,1.0404411764705883,1.005328596802842,1.0328467153284673
NA,2010,FRY3,NA,NA,NA,NA,12800,55.6,27.3,NA,NA,24.7,24,23.2,NA,10100,FR,France,FALSE,1.024,1.032258064516129,1.0491803278688525,1.0406504065040652,0.9823321554770318,1.0296296296296297,1.022058823529412,0.9875666074600356
NA,2011,FRY3,NA,NA,NA,NA,13300,54.6,31.2,NA,NA,25.2,24.4,23.4,NA,10200,FR,France,FALSE,1.0390625,1.064,1.0725806451612903,1.0901639344262295,0.9820143884892086,0.9646643109540636,1.011111111111111,1.0036764705882353
NA,2012,FRY3,NA,NA,NA,NA,13700,56.2,30.9,NA,NA,25.5,24.8,24.1,NA,10400,FR,France,FALSE,1.0300751879699248,1.0703125,1.096,1.1048387096774193,1.0293040293040294,1.0107913669064748,0.9929328621908128,1.0407407407407407
NA,2013,FRY3,NA,NA,NA,NA,13800,55.7,34.3,NA,NA,25.7,25,24.2,NA,10500,FR,France,FALSE,1.0072992700729928,1.037593984962406,1.078125,1.104,0.9911032028469751,1.02014652014652,1.0017985611510791,0.9840989399293286
France,2014,FRY3,Guyane,0,0.01558005752636625,0.01558005752636625,13700,57.4,29.5,NA,7.6,25.6,24.9,24.2,29.6,10600,FR,France,FALSE,0.9927536231884058,1,1.0300751879699248,1.0703125,1.030520646319569,1.0213523131672597,1.0512820512820513,1.0323741007194245
NA,2015,FRY3,NA,NA,NA,NA,13400,55.4,32.5,NA,8.5,25.9,25.2,24.6,28.8,10100,FR,France,FALSE,0.9781021897810219,0.9710144927536232,0.9781021897810219,1.0075187969924813,0.9651567944250871,0.9946140035906642,0.9857651245551601,1.0146520146520146
NA,2016,FRY3,NA,NA,NA,NA,13600,54.7,33.5,NA,7.3,26.2,25.8,25.3,27.7,10100,FR,France,FALSE,1.0149253731343284,0.9927007299270073,0.9855072463768116,0.9927007299270073,0.9873646209386282,0.9529616724738676,0.9820466786355476,0.9733096085409253
NA,2017,FRY3,NA,NA,NA,NA,13500,52.8,36.2,NA,7.9,26.4,25.7,25,28.6,10100,FR,France,FALSE,0.9926470588235294,1.007462686567164,0.9854014598540146,0.9782608695652174,0.9652650822669103,0.9530685920577617,0.9198606271777003,0.9479353680430879
NA,2018,FRY3,NA,NA,NA,NA,13900,52.3,35.8,NA,7.7,26.5,25.8,25,29.3,10200,FR,France,FALSE,1.0296296296296297,1.0220588235294117,1.037313432835821,1.0145985401459854,0.990530303030303,0.9561243144424131,0.944043321299639,0.9111498257839721
France,2019,FRY3,Guyane,0.2536057692307692,0.37876602564102563,0.37876602564102563,14200,51.3,38.6,NA,7.9,26.6,25.9,25.1,29.1,10200,FR,France,FALSE,1.0215827338129497,1.0518518518518518,1.0441176470588236,1.0597014925373134,0.9808795411089866,0.9715909090909091,0.9378427787934186,0.9259927797833934
NA,2000,FRY4,NA,NA,NA,NA,11800,NA,NA,NA,NA,29.1,28.3,27.5,NA,9000,FR,France,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,FRY4,NA,NA,NA,NA,12700,54.8,NA,NA,NA,29.5,28.7,27.9,NA,9700,FR,France,FALSE,1.076271186440678,NA,NA,NA,NA,NA,NA,NA
NA,2002,FRY4,NA,NA,NA,NA,13400,54.9,NA,NA,NA,30,29.2,28.2,NA,10500,FR,France,FALSE,1.0551181102362204,1.1355932203389831,NA,NA,1.0018248175182483,NA,NA,NA
NA,2003,FRY4,NA,NA,NA,NA,13600,55.1,NA,NA,NA,30.4,29.6,28.6,NA,10600,FR,France,FALSE,1.0149253731343284,1.0708661417322836,1.152542372881356,NA,1.0036429872495447,1.0054744525547445,NA,NA
France,2004,FRY4,La Réunion,0.01575015071914563,0.01575015071914563,0.01575015071914563,14200,55.3,NA,NA,NA,30.8,30,29,NA,11000,FR,France,FALSE,1.0441176470588236,1.0597014925373134,1.1181102362204725,1.2033898305084745,1.0036297640653358,1.0072859744990892,1.0091240875912408,NA
NA,2005,FRY4,NA,NA,NA,NA,15300,55.1,NA,NA,NA,31.3,30.3,29.3,NA,11800,FR,France,FALSE,1.0774647887323943,1.125,1.1417910447761195,1.204724409448819,0.9963833634719711,1,1.0036429872495447,1.0054744525547445
NA,2006,FRY4,NA,NA,NA,NA,16000,55.9,NA,NA,NA,31.7,30.8,29.7,NA,12500,FR,France,FALSE,1.0457516339869282,1.1267605633802817,1.1764705882352942,1.1940298507462686,1.0145190562613429,1.0108499095840868,1.0145190562613429,1.018214936247723
NA,2007,FRY4,NA,NA,NA,NA,16800,55.9,19.1,NA,NA,32,31,29.9,NA,13100,FR,France,FALSE,1.05,1.0980392156862746,1.1830985915492958,1.2352941176470589,1,1.0145190562613429,1.0108499095840868,1.0145190562613429
NA,2008,FRY4,NA,NA,NA,NA,17200,56.4,19.7,NA,NA,32.3,31.4,30.2,NA,12500,FR,France,FALSE,1.0238095238095237,1.075,1.1241830065359477,1.2112676056338028,1.0089445438282647,1.0089445438282647,1.0235934664246824,1.0198915009041591
France,2009,FRY4,La Réunion,0,0,0,16300,57.4,20.1,NA,NA,32.6,31.6,30.5,NA,12500,FR,France,FALSE,0.9476744186046512,0.9702380952380952,1.01875,1.065359477124183,1.0177304964539007,1.0268336314847943,1.0268336314847943,1.041742286751361
NA,2010,FRY4,NA,NA,NA,NA,16500,57.9,26.9,1.2,NA,33.1,32,30.8,NA,13800,FR,France,FALSE,1.0122699386503067,0.9593023255813954,0.9821428571428571,1.03125,1.0087108013937283,1.0265957446808511,1.035778175313059,1.035778175313059
NA,2011,FRY4,NA,NA,NA,NA,17100,57.2,29.8,1.4,NA,33.6,32.6,31.4,NA,13200,FR,France,FALSE,1.0363636363636364,1.049079754601227,0.9941860465116279,1.0178571428571428,0.987910189982729,0.9965156794425087,1.0141843971631206,1.0232558139534884
NA,2012,FRY4,NA,NA,NA,NA,17200,56.9,31.5,1.3,NA,34.2,33.2,31.9,NA,13000,FR,France,FALSE,1.0058479532163742,1.0424242424242425,1.0552147239263803,1,0.9947552447552447,0.9827288428324698,0.9912891986062717,1.0088652482269505
NA,2013,FRY4,NA,NA,NA,NA,17500,58.4,32.2,1.5,NA,34.7,33.7,32.4,NA,13500,FR,France,FALSE,1.0174418604651163,1.023391812865497,1.0606060606060606,1.0736196319018405,1.0263620386643233,1.0209790209790208,1.008635578583765,1.0174216027874565
France,2014,FRY4,La Réunion,0,0.02634271515112143,0.02634271515112143,17800,58.3,31.7,2.3,10.3,35.1,34.1,32.8,34.4,14800,FR,France,FALSE,1.0171428571428571,1.0348837209302326,1.04093567251462,1.0787878787878789,0.99828767123287665,1.0246045694200352,1.0192307692307692,1.006908462867012
NA,2015,FRY4,NA,NA,NA,NA,18300,58.1,35.1,1.4,10.6,35.6,34.5,33.1,37,13800,FR,France,FALSE,1.0280898876404494,1.0457142857142858,1.063953488372093,1.0701754385964912,0.9965694682675815,0.9948630136986302,1.0210896309314588,1.0157342657342656
NA,2016,FRY4,NA,NA,NA,NA,18800,56.9,34.7,1.3,12.1,36.1,35.1,33.8,35.1,14100,FR,France,FALSE,1.0273224043715847,1.0561797752808988,1.0742857142857143,1.0930232558139534,0.9793459552495697,0.9759862778730704,0.9743150684931506,1
NA,2017,FRY4,NA,NA,NA,NA,19300,56.5,35,1.9,11.2,36.7,35.7,34.4,35.6,14500,FR,France,FALSE,1.0265957446808511,1.0546448087431695,1.0842696629213484,1.1028571428571428,0.9929701230228472,0.9724612736660929,0.9691252144082333,0.9674657534246576
NA,2018,FRY4,NA,NA,NA,NA,19800,55.7,35.9,1.7,10.7,37,36.1,34.8,35.4,14600,FR,France,FALSE,1.0259067357512954,1.053191489361702,1.0819672131147542,1.1123595505617978,0.9858407079646018,0.9789103690685413,0.9586919104991395,0.9554030874785593
France,2019,FRY4,La Réunion,0.2843086614811214,0.4574572597634095,0.4574572597634095,20800,53.6,37.7,1.6,11.5,37.5,36.6,35.4,37.1,15100,FR,France,FALSE,1.0505050505050506,1.077720207253886,1.1063829787234043,1.1366120218579234,0.9622980251346499,0.9486725663716814,0.9420035149384887,0.9225473321858864
NA,2000,FRY5,NA,NA,NA,NA,3400,NA,NA,NA,NA,NA,NA,NA,NA,2500,FR,France,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,FRY5,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,2400,FR,France,FALSE,1.0294117647058822,NA,NA,NA,NA,NA,NA,NA
NA,2002,FRY5,NA,NA,NA,NA,3600,NA,NA,NA,NA,NA,NA,NA,NA,2400,FR,France,FALSE,1.0285714285714285,1.0588235294117647,NA,NA,NA,NA,NA,NA
NA,2003,FRY5,NA,NA,NA,NA,3900,NA,NA,NA,NA,NA,NA,NA,NA,2600,FR,France,FALSE,1.0833333333333333,1.1142857142857143,1.1470588235294117,NA,NA,NA,NA,NA
France,2004,FRY5,Mayotte,0.03634815639531076,0.03634815639531076,0.03634815639531076,4200,NA,NA,NA,NA,NA,NA,NA,NA,2800,FR,France,FALSE,1.0769230769230769,1.1666666666666667,1.2,1.2352941176470589,NA,NA,NA,NA
NA,2005,FRY5,NA,NA,NA,NA,4700,NA,NA,NA,NA,NA,NA,NA,NA,3300,FR,France,FALSE,1.119047619047619,1.205128205128205,1.3055555555555556,1.3428571428571427,NA,NA,NA,NA
NA,2006,FRY5,NA,NA,NA,NA,5200,NA,NA,NA,NA,NA,NA,NA,NA,3500,FR,France,FALSE,1.1063829787234043,1.2380952380952381,1.3333333333333333,1.4444444444444444,NA,NA,NA,NA
NA,2007,FRY5,NA,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,3900,FR,France,FALSE,1.0576923076923077,1.1702127659574468,1.3095238095238095,1.4102564102564104,NA,NA,NA,NA
NA,2008,FRY5,NA,NA,NA,NA,6100,NA,NA,NA,NA,NA,NA,NA,NA,4400,FR,France,FALSE,1.1090909090909091,1.1730769230769231,1.297872340425532,1.4523809523809523,NA,NA,NA,NA
France,2009,FRY5,Mayotte,0,0,0,5900,NA,NA,NA,NA,NA,NA,NA,NA,4300,FR,France,FALSE,0.9672131147540983,1.0727272727272728,1.1346153846153846,1.2553191489361701,NA,NA,NA,NA
NA,2010,FRY5,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,4400,FR,France,FALSE,1.0677966101694916,1.0327868852459017,1.1454545454545455,1.2115384615384615,NA,NA,NA,NA
NA,2011,FRY5,NA,NA,NA,NA,6400,NA,NA,NA,NA,NA,NA,NA,NA,4600,FR,France,FALSE,1.0158730158730158,1.0847457627118644,1.0491803278688525,1.1636363636363636,NA,NA,NA,NA
NA,2012,FRY5,NA,NA,NA,NA,6400,NA,NA,NA,NA,NA,NA,NA,NA,4600,FR,France,FALSE,1,1.0158730158730158,1.0847457627118644,1.0491803278688525,NA,NA,NA,NA
NA,2013,FRY5,NA,NA,NA,NA,6900,41.3,29.7,NA,NA,NA,NA,NA,NA,4900,FR,France,FALSE,1.078125,1.078125,1.0952380952380953,1.1694915254237288,NA,NA,NA,NA
France,2014,FRY5,Mayotte,0,0.0082620609482687,0.0082620609482687,7200,42,24.5,NA,NA,18.2,17.6,17,NA,5100,FR,France,FALSE,1.0434782608695652,1.125,1.125,1.1428571428571428,1.016949152542373,NA,NA,NA
NA,2015,FRY5,NA,NA,NA,NA,7800,46.3,22.7,NA,NA,18.7,17.7,16.8,NA,5400,FR,France,FALSE,1.0833333333333333,1.1304347826086956,1.21875,1.21875,1.1023809523809522,1.1210653753026634,NA,NA
NA,2016,FRY5,NA,NA,NA,NA,8000,48.8,23.7,NA,NA,18.7,17.7,16.8,NA,5600,FR,France,FALSE,1.0256410256410255,1.1111111111111112,1.1594202898550725,1.25,1.0539956803455723,1.1619047619047618,1.1815980629539953,NA
NA,2017,FRY5,NA,NA,NA,NA,8400,49.3,24.4,NA,NA,18.7,17.7,16.8,NA,5700,FR,France,FALSE,1.05,1.0769230769230769,1.1666666666666667,1.2173913043478262,1.0102459016393444,1.0647948164146868,1.1738095238095236,1.1937046004842615
NA,2018,FRY5,NA,NA,NA,NA,8400,50.1,22.5,NA,NA,18.7,17.7,16.8,NA,5700,FR,France,FALSE,1,1.05,1.0769230769230769,1.1666666666666667,1.0162271805273835,1.0266393442622952,1.08207343412527,1.1928571428571428
France,2019,FRY5,Mayotte,0.4315981167273696,0.5174113884693967,0.5174113884693967,8900,49.2,23.4,NA,NA,18.7,17.7,16.8,NA,5900,FR,France,FALSE,1.0595238095238095,1.0595238095238095,1.1125,1.141025641025641,0.9820359281437127,0.9979716024340772,1.0081967213114755,1.062634989200864
NA,2000,HR02,NA,NA,NA,NA,7200,NA,NA,NA,NA,NA,NA,NA,NA,4900,HR,Croatia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,HR02,NA,NA,NA,NA,7500,NA,NA,NA,NA,NA,NA,NA,NA,5100,HR,Croatia,FALSE,1.0416666666666667,NA,NA,NA,NA,NA,NA,NA
NA,2002,HR02,NA,NA,NA,NA,8100,NA,NA,NA,NA,NA,NA,NA,NA,5400,HR,Croatia,FALSE,1.08,1.125,NA,NA,NA,NA,NA,NA
NA,2003,HR02,NA,NA,NA,NA,8300,NA,NA,NA,NA,NA,NA,NA,NA,5900,HR,Croatia,FALSE,1.0246913580246915,1.1066666666666667,1.1527777777777777,NA,NA,NA,NA,NA
NA,2004,HR02,NA,NA,NA,NA,8700,NA,NA,NA,NA,NA,NA,NA,NA,6200,HR,Croatia,FALSE,1.0481927710843373,1.0740740740740742,1.16,1.2083333333333333,NA,NA,NA,NA
NA,2005,HR02,NA,NA,NA,NA,8900,NA,NA,NA,NA,NA,NA,NA,NA,6400,HR,Croatia,FALSE,1.0229885057471264,1.072289156626506,1.0987654320987654,1.1866666666666668,NA,NA,NA,NA
NA,2006,HR02,NA,NA,NA,NA,10100,NA,NA,NA,NA,NA,NA,NA,NA,6500,HR,Croatia,FALSE,1.1348314606741574,1.160919540229885,1.216867469879518,1.2469135802469136,NA,NA,NA,NA
NA,2007,HR02,NA,NA,NA,NA,10900,NA,NA,NA,NA,NA,NA,NA,NA,6800,HR,Croatia,FALSE,1.0792079207920793,1.2247191011235956,1.2528735632183907,1.3132530120481927,NA,NA,NA,NA
NA,2008,HR02,NA,NA,NA,NA,11600,NA,NA,NA,NA,NA,NA,NA,NA,7300,HR,Croatia,FALSE,1.0642201834862386,1.1485148514851484,1.303370786516854,1.3333333333333333,NA,NA,NA,NA
NA,2009,HR02,NA,NA,NA,NA,10700,NA,NA,NA,NA,NA,NA,NA,NA,7300,HR,Croatia,FALSE,0.9224137931034483,0.981651376146789,1.0594059405940595,1.202247191011236,NA,NA,NA,NA
NA,2010,HR02,NA,NA,NA,NA,10200,NA,NA,NA,NA,NA,NA,NA,NA,7500,HR,Croatia,FALSE,0.9532710280373832,0.8793103448275862,0.9357798165137615,1.00990099009901,NA,NA,NA,NA
NA,2011,HR02,NA,NA,NA,NA,10700,NA,NA,NA,NA,NA,NA,NA,NA,7600,HR,Croatia,FALSE,1.0490196078431373,1,0.9224137931034483,0.981651376146789,NA,NA,NA,NA
NA,2012,HR02,NA,NA,NA,NA,10700,NA,NA,NA,NA,NA,NA,NA,NA,7600,HR,Croatia,FALSE,1,1.0490196078431373,1,0.9224137931034483,NA,NA,NA,NA
NA,2013,HR02,NA,NA,NA,NA,10800,NA,NA,NA,NA,NA,NA,NA,NA,7700,HR,Croatia,FALSE,1.0093457943925233,1.0093457943925233,1.0588235294117647,1.0093457943925233,NA,NA,NA,NA
NA,2014,HR02,NA,NA,NA,NA,10600,NA,NA,NA,NA,NA,NA,NA,NA,7400,HR,Croatia,FALSE,0.9814814814814815,0.9906542056074766,0.9906542056074766,1.0392156862745099,NA,NA,NA,NA
NA,2015,HR02,NA,NA,NA,NA,10900,NA,NA,NA,NA,NA,NA,NA,NA,7800,HR,Croatia,FALSE,1.028301886792453,1.0092592592592593,1.0186915887850467,1.0186915887850467,NA,NA,NA,NA
NA,2016,HR02,NA,NA,NA,NA,11300,NA,NA,NA,NA,NA,NA,NA,NA,8000,HR,Croatia,FALSE,1.036697247706422,1.0660377358490567,1.0462962962962963,1.0560747663551402,NA,NA,NA,NA
NA,2017,HR02,NA,NA,NA,NA,11700,NA,NA,NA,NA,NA,NA,NA,NA,8400,HR,Croatia,FALSE,1.0353982300884956,1.073394495412844,1.1037735849056605,1.0833333333333333,NA,NA,NA,NA
NA,2018,HR02,NA,NA,NA,NA,12200,NA,NA,NA,NA,NA,NA,NA,NA,8800,HR,Croatia,FALSE,1.0427350427350428,1.079646017699115,1.1192660550458715,1.150943396226415,NA,NA,NA,NA
NA,2019,HR02,NA,NA,NA,NA,12900,NA,NA,NA,NA,NA,NA,NA,NA,9200,HR,Croatia,FALSE,1.0573770491803278,1.1025641025641026,1.1415929203539823,1.18348623853211,NA,NA,NA,NA
NA,2000,HR03,NA,NA,NA,NA,8700,NA,NA,NA,NA,NA,NA,NA,NA,5200,HR,Croatia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
NA,2001,HR03,NA,NA,NA,NA,9000,NA,NA,NA,NA,41.8,40.4,38.9,NA,5400,HR,Croatia,FALSE,1.0344827586206897,NA,NA,NA,NA,NA,NA,NA
NA,2002,HR03,NA,NA,NA,NA,9700,NA,NA,NA,NA,42.1,40.7,39.2,NA,5800,HR,Croatia,FALSE,1.0777777777777777,1.1149425287356323,NA,NA,NA,NA,NA,NA
NA,2003,HR03,NA,NA,NA,NA,10800,NA,NA,NA,NA,42.5,41,39.5,NA,6300,HR,Croatia,FALSE,1.1134020618556701,1.2,1.2413793103448276,NA,NA,NA,NA,NA
NA,2004,HR03,NA,NA,NA,NA,11800,NA,NA,NA,NA,42.8,41.3,39.7,NA,6700,HR,Croatia,FALSE,1.0925925925925926,1.2164948453608246,1.3111111111111111,1.3563218390804597,NA,NA,NA,NA
NA,2005,HR03,NA,NA,NA,NA,12300,NA,NA,NA,NA,43.1,41.6,40,NA,6900,HR,Croatia,FALSE,1.0423728813559323,1.1388888888888888,1.268041237113402,1.3666666666666667,NA,NA,NA,NA
