DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2013,39.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2014,38.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2015,38.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2016,38.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2017,34.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2018,34.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2019,35.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2020,38.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT32,2021,35.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,1999,40.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2000,37.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2001,39.5,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2002,41.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2003,37.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2004,33.9,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2005,41.5,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2006,43.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2007,45.6,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2008,47.8,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2009,46.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2010,42.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2011,44.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2012,44.2,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2013,47.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2014,41.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2015,33.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2016,34.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2017,36.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2018,39.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2019,36.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2020,35.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT33,2021,34.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,1999,42.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2000,43.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2001,44.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2002,41.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2003,40.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2004,43.6,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2005,42.5,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2006,41.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2007,41.3,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2008,42.3,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2009,42.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2010,42.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2011,44.6,
