DATAFLOW,LAST UPDATE,freq,category,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2007,42.2,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2008,42.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2009,44.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2010,45.0,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2011,46.5,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2012,47.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2013,50.5,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2014,56.6,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2015,56.1,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2016,55.9,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2017,56.9,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2018,55.5,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2019,56.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2020,57.2,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT13,2021,57.9,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,1999,25.3,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2000,25.4,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2001,25.8,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2002,28.3,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2003,27.8,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2004,35.1,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2005,33.0,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2006,33.4,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2007,33.1,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2008,31.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2009,32.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2010,32.6,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2011,35.6,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2012,36.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2013,36.7,
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2014,42.3,b
ESTAT:HRST_ST_RCAT(1.0),27/09/22 23:00:00,A,HRST,PC_ACT,AT2,2015,43.4,
