DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2002,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2003,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2004,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2005,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2006,41.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2007,42.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2008,42.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2009,42.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2010,42.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2011,43.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2012,43.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2013,43.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2014,43.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2015,43.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2016,43.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2017,43.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2018,44.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2019,44.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2020,44.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT1,2021,44.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1990,38.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1991,39.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1992,39.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1993,39.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1994,39.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1995,39.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1996,39.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1997,40.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1998,40.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,1999,40.8,
