Provinces;Five-year age group;Nationality;Sex;Period;Total
27 Lugo;Total;Total;Both sexes;1 July 2012;346,056.839009
27 Lugo;Total;Total;Both sexes;1 January 2012;347,628.720510
27 Lugo;Total;Total;Both sexes;1 July 2011;348,524.488874
27 Lugo;Total;Total;Both sexes;1 January 2011;349,525.173139
27 Lugo;Total;Total;Both sexes;1 July 2010;349,924.929984
27 Lugo;Total;Total;Both sexes;1 January 2010;350,999.729286
27 Lugo;Total;Total;Both sexes;1 July 2009;351,628.486637
27 Lugo;Total;Total;Both sexes;1 January 2009;352,322.174233
27 Lugo;Total;Total;Both sexes;1 July 2008;352,169.537182
27 Lugo;Total;Total;Both sexes;1 January 2008;352,633.327403
27 Lugo;Total;Total;Both sexes;1 July 2007;352,357.712987
27 Lugo;Total;Total;Both sexes;1 January 2007;352,246.757566
27 Lugo;Total;Total;Both sexes;1 July 2006;352,160.328929
27 Lugo;Total;Total;Both sexes;1 January 2006;352,624.263928
27 Lugo;Total;Total;Both sexes;1 July 2005;352,787.450889
27 Lugo;Total;Total;Both sexes;1 January 2005;353,357.129386
27 Lugo;Total;Total;Both sexes;1 July 2004;353,463.412620
27 Lugo;Total;Total;Both sexes;1 January 2004;354,345.042486
27 Lugo;Total;Total;Both sexes;1 July 2003;355,049.906760
27 Lugo;Total;Total;Both sexes;1 January 2003;355,701.730503
27 Lugo;Total;Total;Both sexes;1 July 2002;356,236.139072
27 Lugo;Total;Total;Both sexes;1 January 2002;357,303.106905
27 Lugo;Total;Spanish ;Both sexes;1 July 2022;304,148.754556
27 Lugo;Total;Spanish ;Both sexes;1 January 2022;305,881.269259
27 Lugo;Total;Spanish ;Both sexes;1 July 2021;306,965.227877
27 Lugo;Total;Spanish ;Both sexes;1 January 2021;308,430.746495
27 Lugo;Total;Spanish ;Both sexes;1 July 2020;309,416.515863
27 Lugo;Total;Spanish ;Both sexes;1 January 2020;311,057.025230
27 Lugo;Total;Spanish ;Both sexes;1 July 2019;312,727.258531
27 Lugo;Total;Spanish ;Both sexes;1 January 2019;314,306.151834
27 Lugo;Total;Spanish ;Both sexes;1 July 2018;315,406.671246
27 Lugo;Total;Spanish ;Both sexes;1 January 2018;317,251.770659
27 Lugo;Total;Spanish ;Both sexes;1 July 2017;318,734.579570
27 Lugo;Total;Spanish ;Both sexes;1 January 2017;320,373.568480
27 Lugo;Total;Spanish ;Both sexes;1 July 2016;321,922.157851
27 Lugo;Total;Spanish ;Both sexes;1 January 2016;323,339.737928
27 Lugo;Total;Spanish ;Both sexes;1 July 2015;324,627.514052
27 Lugo;Total;Spanish ;Both sexes;1 January 2015;326,471.108777
27 Lugo;Total;Spanish ;Both sexes;1 July 2014;327,546.383181
27 Lugo;Total;Spanish ;Both sexes;1 January 2014;328,874.716163
27 Lugo;Total;Spanish ;Both sexes;1 July 2013;329,644.176052
27 Lugo;Total;Spanish ;Both sexes;1 January 2013;330,840.187959
27 Lugo;Total;Spanish ;Both sexes;1 July 2012;332,098.655465
27 Lugo;Total;Spanish ;Both sexes;1 January 2012;333,709.799232
27 Lugo;Total;Spanish ;Both sexes;1 July 2011;334,783.345320
27 Lugo;Total;Spanish ;Both sexes;1 January 2011;335,861.177069
27 Lugo;Total;Spanish ;Both sexes;1 July 2010;336,424.064327
27 Lugo;Total;Spanish ;Both sexes;1 January 2010;337,581.320136
27 Lugo;Total;Spanish ;Both sexes;1 July 2009;338,272.146929
27 Lugo;Total;Spanish ;Both sexes;1 January 2009;339,443.427219
27 Lugo;Total;Spanish ;Both sexes;1 July 2008;340,054.908344
27 Lugo;Total;Spanish ;Both sexes;1 January 2008;341,367.409977
27 Lugo;Total;Spanish ;Both sexes;1 July 2007;342,265.375288
27 Lugo;Total;Spanish ;Both sexes;1 January 2007;343,177.647237
27 Lugo;Total;Spanish ;Both sexes;1 July 2006;343,905.258460
27 Lugo;Total;Spanish ;Both sexes;1 January 2006;344,986.249754
27 Lugo;Total;Spanish ;Both sexes;1 July 2005;345,584.078523
27 Lugo;Total;Spanish ;Both sexes;1 January 2005;346,770.835326
27 Lugo;Total;Spanish ;Both sexes;1 July 2004;347,505.946366
27 Lugo;Total;Spanish ;Both sexes;1 January 2004;348,693.376853
27 Lugo;Total;Spanish ;Both sexes;1 July 2003;349,781.394620
27 Lugo;Total;Spanish ;Both sexes;1 January 2003;350,854.663828
27 Lugo;Total;Spanish ;Both sexes;1 July 2002;351,799.394206
27 Lugo;Total;Spanish ;Both sexes;1 January 2002;353,397.922262
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2022;5,474.707817
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2022;5,481.255874
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2021;5,497.255874
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2021;5,487.255874
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2020;5,430.255874
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2020;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2019;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2019;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2018;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2018;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2017;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2017;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2016;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2016;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2015;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2015;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2014;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2014;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2013;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2013;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2012;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2012;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2011;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2011;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2010;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2010;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2009;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2009;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2008;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2008;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2007;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2007;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2006;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2006;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2005;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2005;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2004;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2004;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2003;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2003;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 July 2002;""
27 Lugo;Total;País de la UE27_2020 sin España;Both sexes;1 January 2002;""
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2022;""
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2022;""
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2021;""
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2021;""
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2020;""
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2020;5,912.572087
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2019;5,790.421810
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2019;5,803.271532
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2018;5,659.271532
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2018;5,834.271532
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2017;5,680.271532
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2017;5,536.271532
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2016;5,361.328972
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2016;5,240.610296
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2015;5,098.105638
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2015;5,004.328955
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2014;4,938.449785
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2014;4,935.794576
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2013;4,978.343009
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2013;5,078.804450
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2012;5,053.543274
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2012;5,014.098834
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2011;4,926.482266
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2011;4,789.512265
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2010;4,589.016476
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2010;4,470.729208
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2009;4,315.732094
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2009;4,271.966277
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2008;4,082.513964
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2008;3,813.861831
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2007;3,262.271560
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2007;2,820.099761
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2006;2,539.602007
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2006;2,330.342266
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2005;2,136.134068
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2005;1,933.787838
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2004;1,732.981644
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2004;1,636.356709
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2003;1,538.552454
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2003;1,437.283102
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 July 2002;1,346.086622
27 Lugo;Total;País de la UE28 sin España;Both sexes;1 January 2002;1,250.266747
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2022;845.191859
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2022;733.191859
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2021;716.191859
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2021;720.191859
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2020;693.191859
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2020;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2019;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2019;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2018;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2018;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2017;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2017;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2016;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2016;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2015;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2015;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2014;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2014;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2013;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2013;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2012;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2012;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2011;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2011;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2010;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2010;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2009;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2009;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2008;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2008;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2007;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2007;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2006;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2006;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2005;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2005;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2004;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2004;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2003;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2003;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 July 2002;""
27 Lugo;Total;País de Europa menos UE27_2020;Both sexes;1 January 2002;""
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2022;""
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2022;""
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2021;""
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2021;""
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2020;""
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2020;231.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2019;210.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2019;201.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2018;179.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2018;168.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2017;164.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2017;158.875646
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2016;157.083597
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2016;159.570855
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2015;154.266674
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2015;144.420699
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2014;142.836741
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2014;137.242791
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2013;130.622678
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2013;136.170579
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2012;136.240460
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2012;136.948270
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2011;131.973612
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2011;143.068679
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2010;150.453608
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2010;143.248261
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2009;147.542828
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2009;147.657613
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2008;143.078454
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2008;133.266878
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2007;128.671040
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2007;131.226502
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2006;137.938048
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2006;132.764455
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2005;136.855912
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2005;130.379633
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2004;124.993526
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2004;127.930927
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2003;121.472834
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2003;114.052461
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 July 2002;102.712056
27 Lugo;Total;País de Europa menos UE28;Both sexes;1 January 2002;95.256846
27 Lugo;Total;De Africa;Both sexes;1 July 2022;3,454.545965
27 Lugo;Total;De Africa;Both sexes;1 January 2022;3,394.545965
27 Lugo;Total;De Africa;Both sexes;1 July 2021;3,377.545965
27 Lugo;Total;De Africa;Both sexes;1 January 2021;3,332.545965
27 Lugo;Total;De Africa;Both sexes;1 July 2020;3,272.545965
27 Lugo;Total;De Africa;Both sexes;1 January 2020;3,174.545965
27 Lugo;Total;De Africa;Both sexes;1 July 2019;3,033.545965
27 Lugo;Total;De Africa;Both sexes;1 January 2019;2,857.545965
27 Lugo;Total;De Africa;Both sexes;1 July 2018;2,719.545965
27 Lugo;Total;De Africa;Both sexes;1 January 2018;2,658.545965
27 Lugo;Total;De Africa;Both sexes;1 July 2017;2,596.545965
27 Lugo;Total;De Africa;Both sexes;1 January 2017;2,534.545965
27 Lugo;Total;De Africa;Both sexes;1 July 2016;2,525.836015
27 Lugo;Total;De Africa;Both sexes;1 January 2016;2,572.834124
27 Lugo;Total;De Africa;Both sexes;1 July 2015;2,527.955336
27 Lugo;Total;De Africa;Both sexes;1 January 2015;2,482.739801
27 Lugo;Total;De Africa;Both sexes;1 July 2014;2,451.691112
27 Lugo;Total;De Africa;Both sexes;1 January 2014;2,468.544875
27 Lugo;Total;De Africa;Both sexes;1 July 2013;2,443.694735
27 Lugo;Total;De Africa;Both sexes;1 January 2013;2,440.838052
27 Lugo;Total;De Africa;Both sexes;1 July 2012;2,377.358258
27 Lugo;Total;De Africa;Both sexes;1 January 2012;2,341.191595
27 Lugo;Total;De Africa;Both sexes;1 July 2011;2,245.918618
27 Lugo;Total;De Africa;Both sexes;1 January 2011;2,188.065521
27 Lugo;Total;De Africa;Both sexes;1 July 2010;2,153.892020
27 Lugo;Total;De Africa;Both sexes;1 January 2010;2,103.782433
27 Lugo;Total;De Africa;Both sexes;1 July 2009;2,031.334364
27 Lugo;Total;De Africa;Both sexes;1 January 2009;1,813.843005
27 Lugo;Total;De Africa;Both sexes;1 July 2008;1,634.680136
27 Lugo;Total;De Africa;Both sexes;1 January 2008;1,450.147574
27 Lugo;Total;De Africa;Both sexes;1 July 2007;1,341.733384
27 Lugo;Total;De Africa;Both sexes;1 January 2007;1,168.019323
27 Lugo;Total;De Africa;Both sexes;1 July 2006;1,049.766410
27 Lugo;Total;De Africa;Both sexes;1 January 2006;927.076041
27 Lugo;Total;De Africa;Both sexes;1 July 2005;887.462002
27 Lugo;Total;De Africa;Both sexes;1 January 2005;790.159663
27 Lugo;Total;De Africa;Both sexes;1 July 2004;681.164002
27 Lugo;Total;De Africa;Both sexes;1 January 2004;628.401761
27 Lugo;Total;De Africa;Both sexes;1 July 2003;576.407588
27 Lugo;Total;De Africa;Both sexes;1 January 2003;528.901855
27 Lugo;Total;De Africa;Both sexes;1 July 2002;492.213570
27 Lugo;Total;De Africa;Both sexes;1 January 2002;427.029143
27 Lugo;Total;De América del Norte;Both sexes;1 July 2022;299.713392
27 Lugo;Total;De América del Norte;Both sexes;1 January 2022;298.739152
27 Lugo;Total;De América del Norte;Both sexes;1 July 2021;285.739152
27 Lugo;Total;De América del Norte;Both sexes;1 January 2021;288.739152
27 Lugo;Total;De América del Norte;Both sexes;1 July 2020;274.911790
27 Lugo;Total;De América del Norte;Both sexes;1 January 2020;273.084429
27 Lugo;Total;De América del Norte;Both sexes;1 July 2019;247.084429
27 Lugo;Total;De América del Norte;Both sexes;1 January 2019;255.084429
27 Lugo;Total;De América del Norte;Both sexes;1 July 2018;225.084429
27 Lugo;Total;De América del Norte;Both sexes;1 January 2018;225.084429
27 Lugo;Total;De América del Norte;Both sexes;1 July 2017;216.084429
27 Lugo;Total;De América del Norte;Both sexes;1 January 2017;202.084429
27 Lugo;Total;De América del Norte;Both sexes;1 July 2016;181.703936
27 Lugo;Total;De América del Norte;Both sexes;1 January 2016;178.218205
27 Lugo;Total;De América del Norte;Both sexes;1 July 2015;175.394707
27 Lugo;Total;De América del Norte;Both sexes;1 January 2015;177.582446
27 Lugo;Total;De América del Norte;Both sexes;1 July 2014;168.978970
27 Lugo;Total;De América del Norte;Both sexes;1 January 2014;152.016664
27 Lugo;Total;De América del Norte;Both sexes;1 July 2013;149.990179
27 Lugo;Total;De América del Norte;Both sexes;1 January 2013;147.317168
27 Lugo;Total;De América del Norte;Both sexes;1 July 2012;130.551734
27 Lugo;Total;De América del Norte;Both sexes;1 January 2012;129.776508
27 Lugo;Total;De América del Norte;Both sexes;1 July 2011;123.824142
27 Lugo;Total;De América del Norte;Both sexes;1 January 2011;129.361171
27 Lugo;Total;De América del Norte;Both sexes;1 July 2010;128.452315
27 Lugo;Total;De América del Norte;Both sexes;1 January 2010;129.007468
27 Lugo;Total;De América del Norte;Both sexes;1 July 2009;130.376252
27 Lugo;Total;De América del Norte;Both sexes;1 January 2009;129.610844
27 Lugo;Total;De América del Norte;Both sexes;1 July 2008;130.295510
27 Lugo;Total;De América del Norte;Both sexes;1 January 2008;123.940473
27 Lugo;Total;De América del Norte;Both sexes;1 July 2007;109.992172
27 Lugo;Total;De América del Norte;Both sexes;1 January 2007;102.719680
27 Lugo;Total;De América del Norte;Both sexes;1 July 2006;97.276418
27 Lugo;Total;De América del Norte;Both sexes;1 January 2006;93.354021
27 Lugo;Total;De América del Norte;Both sexes;1 July 2005;94.359732
27 Lugo;Total;De América del Norte;Both sexes;1 January 2005;92.271178
27 Lugo;Total;De América del Norte;Both sexes;1 July 2004;91.614398
27 Lugo;Total;De América del Norte;Both sexes;1 January 2004;93.977434
27 Lugo;Total;De América del Norte;Both sexes;1 July 2003;92.536858
27 Lugo;Total;De América del Norte;Both sexes;1 January 2003;87.684326
27 Lugo;Total;De América del Norte;Both sexes;1 July 2002;79.176280
27 Lugo;Total;De América del Norte;Both sexes;1 January 2002;73.339524
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2022;1,989.047057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2022;1,920.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2021;1,874.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2021;1,853.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2020;1,837.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2020;1,744.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2019;1,604.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2019;1,493.527057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2018;1,392.007057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2018;1,350.487057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2017;1,307.487057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2017;1,293.487057
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2016;1,254.396236
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2016;1,314.731456
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2015;1,301.564276
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2015;1,309.686449
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2014;1,360.952347
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2014;1,460.366192
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2013;1,536.522441
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2013;1,637.071279
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2012;1,614.828380
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2012;1,588.746623
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2011;1,532.791224
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2011;1,545.994037
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2010;1,531.947786
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2010;1,495.327572
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2009;1,467.400152
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2009;1,400.262613
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2008;1,278.443344
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2008;1,177.286709
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2007;1,047.663682
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2007;959.715837
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2006;839.436686
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2006;779.279572
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2005;771.034694
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2005;739.429656
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2004;673.855982
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2004;650.208186
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2003;599.231308
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2003;583.352682
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 July 2002;535.178072
27 Lugo;Total;De Centro América y Caribe;Both sexes;1 January 2002;500.359929
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2022;6,550.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2022;5,523.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2021;5,290.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2021;5,382.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2020;5,259.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2020;4,845.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2019;4,282.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2019;3,848.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2018;3,483.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2018;3,233.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2017;2,980.395437
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2017;2,779.395437
